J9601,Acute respiratory failure with hypoxia
J9602,Acute respiratory failure with hypercapnia
J9610,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9611,Chronic respiratory failure with hypoxia
J9612,Chronic respiratory failure with hypercapnia
J9620,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9621,Acute and chronic respiratory failure with hypoxia
J9622,Acute and chronic respiratory failure with hypercapnia
J9690,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia"
J9691,"Respiratory failure, unspecified with hypoxia"
J9692,"Respiratory failure, unspecified with hypercapnia"
J9801,Acute bronchospasm
J9809,"Other diseases of bronchus, not elsewhere classified"
J9811,Atelectasis
J9819,Other pulmonary collapse
J982,Interstitial emphysema
J983,Compensatory emphysema
J984,Other disorders of lung
J9851,Mediastinitis
J9859,"Other diseases of mediastinum, not elsewhere classified"
J986,Disorders of diaphragm
J988,Other specified respiratory disorders
J989,"Respiratory disorder, unspecified"
J99,Respiratory disorders in diseases classified elsewhere
K000,Anodontia
K001,Supernumerary teeth
K002,Abnormalities of size and form of teeth
K003,Mottled teeth
K004,Disturbances in tooth formation
K005,"Hereditary disturbances in tooth structure, not elsewhere classified"
K006,Disturbances in tooth eruption
K007,Teething syndrome
K008,Other disorders of tooth development
K009,"Disorder of tooth development, unspecified"
K010,Embedded teeth
K011,Impacted teeth
K023,Arrested dental caries
K0251,Dental caries on pit and fissure surface limited to enamel
K0252,Dental caries on pit and fissure surface penetrating into dentin
K0253,Dental caries on pit and fissure surface penetrating into pulp
K0261,Dental caries on smooth surface limited to enamel
K0262,Dental caries on smooth surface penetrating into dentin
K0263,Dental caries on smooth surface penetrating into pulp
K027,Dental root caries
K029,"Dental caries, unspecified"
K030,Excessive attrition of teeth
K031,Abrasion of teeth
K032,Erosion of teeth
K033,Pathological resorption of teeth
K034,Hypercementosis
K035,Ankylosis of teeth
K036,Deposits [accretions] on teeth
K037,Posteruptive color changes of dental hard tissues
K0381,Cracked tooth
K0389,Other specified diseases of hard tissues of teeth
K039,"Disease of hard tissues of teeth, unspecified"
K0401,Reversible pulpitis
K0402,Irreversible pulpitis
K041,Necrosis of pulp
K042,Pulp degeneration
K043,Abnormal hard tissue formation in pulp
K044,Acute apical periodontitis of pulpal origin
K045,Chronic apical periodontitis
K046,Periapical abscess with sinus
K047,Periapical abscess without sinus
K048,Radicular cyst
K0490,Unspecified diseases of pulp and periapical tissues
K0499,Other diseases of pulp and periapical tissues
K0500,"Acute gingivitis, plaque induced"
K0501,"Acute gingivitis, non-plaque induced"
K0510,"Chronic gingivitis, plaque induced"
K0511,"Chronic gingivitis, non-plaque induced"
K0520,"Aggressive periodontitis, unspecified"
K05211,"Aggressive periodontitis, localized, slight"
K05212,"Aggressive periodontitis, localized, moderate"
K05213,"Aggressive periodontitis, localized, severe"
K05219,"Aggressive periodontitis, localized, unspecified severity"
K05221,"Aggressive periodontitis, generalized, slight"
K05222,"Aggressive periodontitis, generalized, moderate"
K05223,"Aggressive periodontitis, generalized, severe"
K05229,"Aggressive periodontitis, generalized, unspecified severity"
K0530,"Chronic periodontitis, unspecified"
K05311,"Chronic periodontitis, localized, slight"
K05312,"Chronic periodontitis, localized, moderate"
K05313,"Chronic periodontitis, localized, severe"
K05319,"Chronic periodontitis, localized, unspecified severity"
K05321,"Chronic periodontitis, generalized, slight"
K05322,"Chronic periodontitis, generalized, moderate"
K05323,"Chronic periodontitis, generalized, severe"
K05329,"Chronic periodontitis, generalized, unspecified severity"
K054,Periodontosis
K055,Other periodontal diseases
K056,"Periodontal disease, unspecified"
K060,Gingival recession
K061,Gingival enlargement
K062,Gingival and edentulous alveolar ridge lesions associated with trauma
K063,Horizontal alveolar bone loss
K068,Other specified disorders of gingiva and edentulous alveolar ridge
K069,"Disorder of gingiva and edentulous alveolar ridge, unspecified"
K080,Exfoliation of teeth due to systemic causes
K08101,"Complete loss of teeth, unspecified cause, class I"
K08102,"Complete loss of teeth, unspecified cause, class II"
K08103,"Complete loss of teeth, unspecified cause, class III"
K08104,"Complete loss of teeth, unspecified cause, class IV"
K08109,"Complete loss of teeth, unspecified cause, unspecified class"
K08111,"Complete loss of teeth due to trauma, class I"
K08112,"Complete loss of teeth due to trauma, class II"
